,City,Latitude,Longitude,MaxTemp,Cloudiness,Humidity,WindSpeed,Date
34,Bluff,-46.6,168.3333,291.48,4,62,3.58,NZ
35,Airai,-8.9266,125.4092,288.89,99,93,0.58,TL
36,Koróni,36.8,21.95,286.48,100,87,2.06,GR
37,Gornopravdinsk,60.05,69.9,261.28,61,96,3.39,RU
38,Puerto Ayora,-0.7393,-90.3518,301.48,40,74,4.12,EC
39,Meulaboh,4.1363,96.1285,297.5,100,83,1.49,ID
40,North Bend,43.4065,-124.2243,285.37,90,71,7.2,US
41,Hilo,19.7297,-155.09,296.15,90,78,6.17,US
42,New Ulm,44.3125,-94.4605,287.04,1,30,2.69,US
43,Bredasdorp,-34.5322,20.0403,290.15,13,94,1.03,ZA
44,Chui,-33.6971,-53.4616,291.93,11,69,3.81,UY
45,San Miguel de Cauri,-10.1,-76.5833,282.56,99,82,0.6,PE
46,Jamestown,42.097,-79.2353,276.15,1,32,4.89,US
47,Busselton,-33.65,115.3333,283.15,0,93,5.21,AU
48,Mount Isa,-20.7333,139.5,297.15,35,78,4.63,AU
49,Guerrero Negro,27.9769,-114.0611,290.21,0,46,8.46,MX
50,Upernavik,72.7868,-56.1549,251.83,12,95,2.87,GL
51,Malé,4.1748,73.5089,301.15,75,83,7.2,MV
52,Qaanaaq,77.484,-69.3632,254.62,100,64,3.32,GL
53,Hermanus,-34.4187,19.2345,295.37,9,70,1.34,ZA
54,Tabuny,52.7773,78.7896,250.12,0,86,3.47,RU
55,Bambous Virieux,-20.3428,57.7575,300.15,40,83,3.09,MU
56,Ancud,-41.8697,-73.8203,292.04,0,63,3.09,CL
57,Tiznit Province,29.5833,-9.5,290.8,45,61,0.78,MA
58,Flin Flon,54.7682,-101.865,274.15,20,40,2.57,CA
59,Torbay,47.6666,-52.7314,278.15,75,45,3.09,CA
60,Richards Bay,-28.783,32.0377,296.98,0,82,6.02,ZA
61,Sumbawanga,-7.9667,31.6167,289.15,20,77,1.54,TZ
62,Boguchany,58.3814,97.4531,258.59,75,91,4.46,RU
63,East London,-33.0153,27.9116,298.71,39,64,5.62,ZA
64,Egvekinot,66.3167,-179.1667,269.96,100,97,6.42,RU
65,Batticaloa,7.7102,81.6924,298.93,35,84,4.15,LK
66,Albany,42.6001,-73.9662,278.71,43,25,4.18,US
67,Mataura,-46.1927,168.8643,291.48,2,62,3.58,NZ
68,East Northport,40.8768,-73.3246,281.48,1,25,5.14,US
69,New Norfolk,-42.7826,147.0587,281.48,6,69,1.96,AU
70,Timmins,48.4669,-81.3331,275.15,90,55,5.66,CA
71,Butaritari,3.0707,172.7902,300.13,72,80,5.43,KI
72,Bethel,41.3712,-73.414,281.15,1,19,4.12,US
73,Yatou,37.15,122.3833,278.88,3,78,2.34,CN
74,Castro,-24.7911,-50.0119,293.6,33,70,0.88,BR
75,Punta Arenas,-53.15,-70.9167,284.15,20,46,10.29,CL
76,Dikson,73.5069,80.5464,243.24,100,96,7.44,RU
77,Fortuna,40.5982,-124.1573,285.93,1,71,5.66,US
78,Mölln,53.6333,10.6833,278.15,100,100,11.34,DE
79,Longyearbyen,78.2186,15.6401,252.63,93,93,2.17,SJ
80,Chicama,-7.8447,-79.1469,296.15,20,78,4.12,PE
81,Ratnagiri,16.9833,73.3,298.13,33,54,1.09,IN
82,Praia da Vitória,38.7333,-27.0667,288.71,75,94,10.48,PT
83,Tazovsky,67.4667,78.7,248.25,100,79,5.83,RU
84,Shenjiamen,29.9576,122.298,283.37,2,84,2.19,CN
85,Port Hardy,50.6996,-127.4199,282.15,90,71,10.8,CA
86,Saint Paul Harbor,57.79,-152.4072,272.15,1,40,3.6,US
87,Cape Town,-33.9258,18.4232,292.59,90,94,6.17,ZA
88,Avarua,-21.2078,-159.775,302.15,40,70,4.12,CK
89,Hobart,-42.8794,147.3294,282.15,20,66,5.66,AU
90,Kapaa,22.0752,-159.319,295.37,90,94,11.83,US
91,Coari,-4.085,-63.1414,299.58,29,88,0.28,BR
92,Necochea,-38.5473,-58.7368,298.15,1,58,3.67,AR
93,Hong Kong,22.2855,114.1577,293.71,49,85,0.45,HK
94,Bohicon,7.1783,2.0667,297.87,100,85,2.81,BJ
95,Pozo Colorado,-23.4923,-58.7972,305.23,99,33,1.57,PY
96,Arrondissement de Toul,48.6667,5.9167,280.15,75,93,8.23,FR
97,San Jerónimo,-11.9472,-75.2829,287.85,75,66,1.03,PE
98,Thompson,55.7435,-97.8558,266.15,20,49,5.14,CA
99,Novoagansk,61.9449,76.6625,263.02,98,94,5.09,RU
100,Tutóia,-2.7619,-42.2744,299.35,39,82,4.65,BR
101,Takoradze,4.8845,-1.7554,300.18,100,82,3.71,GH
102,Fairbanks,64.8378,-147.7164,257.59,1,77,1.14,US
103,Tuktoyaktuk,69.4541,-133.0374,249.15,90,77,1.03,CA
104,Pevek,69.7008,170.3133,253.39,100,97,3.61,RU
105,Carnarvon,-24.8667,113.6333,300.15,3,61,5.14,AU
106,Sakakah,29.9697,40.2064,287.15,0,35,3.26,SA
107,Manutuke,-38.6833,177.9167,290.93,85,70,0.89,NZ
108,Boma,7.0805,-2.1697,297.14,100,87,0.93,GH
109,Cockburn Town,21.4612,-71.1419,299.15,40,61,6.17,TC
110,George Town,5.4112,100.3354,299.82,20,88,1.03,MY
111,Hambantota,6.1241,81.1185,298.39,60,83,5.38,LK
112,Winnemucca,40.973,-117.7357,285.15,1,17,3.6,US
113,Paita,-5.0892,-81.1144,302.15,20,61,5.14,PE
114,Waingapu,-9.6567,120.2641,298.62,75,86,0.7,ID
115,Jämsä,61.8642,25.19,273.15,90,93,1.03,FI
116,Östersund,63.1792,14.6357,271.15,90,93,2.57,SE
117,Aykhal,66.0,111.5,254.82,100,95,7.64,RU
118,Ascension,30.2169,-90.9001,300.15,40,50,3.09,US
119,Saint-Joseph,-21.3667,55.6167,297.15,0,78,3.09,RE
120,Omboué,-1.5746,9.2618,299.48,99,85,2.79,GA
121,Hualmay,-11.0964,-77.6139,297.26,5,73,3.32,PE
122,Dalbandin,28.8947,64.4101,290.62,15,51,2.52,PK
123,Clyde River,70.4692,-68.5914,252.15,75,84,10.8,CA
124,Itarema,-2.9248,-39.9167,298.99,84,82,4.57,BR
125,Rio Grande,-32.035,-52.0986,301.15,20,57,3.09,BR
126,Al Bardīyah,31.7561,25.0865,287.38,73,70,1.76,LY
127,Hithadhoo,-0.6,73.0833,302.01,12,67,3.79,MV
128,Touros,-5.1989,-35.4608,301.15,40,69,7.2,BR
129,Tura,25.5198,90.2201,292.93,23,48,0.68,IN
130,Maracaçumé,-2.0428,-45.9592,297.01,90,94,1.59,BR
131,Chistogorskiy,53.9835,87.3843,252.56,100,95,3.47,RU
132,Dunedin,-45.8742,170.5036,289.26,0,73,0.89,NZ
133,Cap Malheureux,-19.9842,57.6142,298.15,100,81,1.34,MU
134,Batagay,67.6333,134.6333,244.89,47,82,1.66,RU
135,Barrow,71.2906,-156.7887,252.15,1,65,8.23,US
136,Pospelikha,51.95,81.7667,248.29,3,99,1.51,RU
137,Codrington,-38.2667,141.9667,285.78,27,62,3.44,AU
138,Iqaluit,63.7506,-68.5145,248.15,40,64,7.2,CA
139,Lüderitz,-26.6481,15.1594,293.09,0,74,5.91,NA
140,Dvinskoy,62.1535,45.1175,266.24,100,92,3.76,RU
141,Raja,8.4596,25.678,298.59,50,33,0.39,SS
142,Port Hedland,-20.3167,118.5667,297.15,91,94,5.14,AU
143,Yārāda,17.65,83.2667,297.39,0,62,1.95,IN
144,Cabo San Lucas,22.8909,-109.9124,297.04,1,56,6.17,MX
145,Lebu,-37.6167,-73.65,289.54,0,72,4.21,CL
146,Lærdal,61.098,7.4816,274.26,100,94,0.89,NO
147,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,304.82,82,30,2.24,AR
148,Coyhaique,-45.5752,-72.0662,296.15,0,33,2.57,CL
149,‘Āhuimanu,21.4447,-157.8378,297.15,75,78,8.23,US
150,Westport,41.1415,-73.3579,281.48,1,36,6.69,US
151,Sun Valley,39.5963,-119.776,286.15,1,15,1.54,US
152,Grand Gaube,-20.0064,57.6608,298.15,100,81,0.89,MU
153,Dubai,25.2582,55.3047,295.15,0,73,2.06,AE
154,Prescott,34.54,-112.4685,278.15,90,75,8.23,US
155,Warrington,53.3925,-2.5802,280.37,90,93,8.75,GB
156,Bourail,-21.5667,165.4833,299.22,72,67,2.64,NC
157,Salalah,17.0151,54.0924,297.15,0,73,2.06,OM
158,Saldanha,-33.0117,17.9442,293.15,99,83,1.54,ZA
159,Miyako,39.6367,141.9525,280.07,100,87,9.86,JP
160,Badnāwar,23.0167,75.2167,290.15,0,51,2.82,IN
161,Vilyuysk,63.7553,121.6247,259.15,100,92,4.37,RU
162,Havelock,34.8791,-76.9013,288.71,90,41,4.63,US
163,Constitución,-35.3333,-72.4167,290.0,18,75,1.54,CL
164,Khatanga,71.9667,102.5,243.79,64,94,5.87,RU
165,Auki,-8.7676,160.7034,299.89,96,82,1.51,SB
166,Ponta do Sol,32.6667,-17.1,288.15,99,72,0.45,PT
167,Dzaoudzi,-12.7887,45.2699,299.15,0,89,2.57,YT
168,Makat,47.6469,53.3463,263.98,0,62,5.2,KZ
169,Tasiilaq,65.6145,-37.6368,268.15,90,86,7.2,GL
170,Kahului,20.8947,-156.47,294.15,90,94,7.72,US
171,Rocha,-34.4833,-54.3333,289.6,12,72,2.53,UY
172,Huarmey,-10.0681,-78.1522,297.6,2,73,4.15,PE
173,Hofn,64.2539,-15.2082,274.1,98,57,7.32,IS
174,Nago,26.5881,127.9761,290.15,90,88,3.33,JP
175,Takāb,36.4009,47.1133,271.34,0,65,0.72,IR
176,Pisco,-13.7,-76.2167,298.15,0,73,3.09,PE
177,Bassar,9.25,0.7833,300.15,0,61,0.22,TG
178,Moerai,-22.4333,-151.3333,300.23,75,74,3.87,PF
179,Katangli,51.7102,143.2326,269.46,16,93,4.54,RU
180,Ust'-Koksa,50.2696,85.6108,250.53,1,73,0.57,RU
181,Iskateley,67.6803,53.1512,258.74,95,96,3.95,RU
182,Vardø,70.3705,31.1107,269.61,100,89,3.66,NO
183,Aquiraz,-3.9014,-38.3911,301.48,40,74,3.6,BR
184,Saint-Jean-de-Braye,47.913,1.9771,278.15,20,87,9.26,FR
185,Saint George,37.1041,-113.5841,282.59,40,75,1.74,US
186,Riyadh,24.6877,46.7219,292.15,38,30,2.57,SA
187,Caucayá,-0.1934,-74.7819,300.48,81,85,0.82,CO
188,Kārkala,13.2,74.9833,300.15,20,83,2.06,IN
189,Vao,-22.6667,167.4833,297.79,83,78,8.48,NC
190,Aklavik,68.2191,-135.0107,251.15,1,64,2.06,CA
191,Esperance,-33.8667,121.9,283.15,50,76,2.57,AU
192,Provideniya,64.3833,-173.3,268.61,100,93,11.55,RU
193,Qingdao,36.0986,120.3719,282.04,0,93,1.0,CN
194,Turan,16.0678,108.2208,295.15,20,94,2.37,VN
195,Haines Junction,60.7522,-137.5108,258.15,92,47,5.66,CA
196,Dryden,49.7833,-92.7503,280.15,1,29,8.75,CA
197,Itoman,26.1247,127.6694,292.15,75,68,4.63,JP
198,Coquimbo,-29.9533,-71.3436,291.15,20,72,5.14,CL
199,Marsh Harbour,26.5412,-77.0636,295.34,6,65,5.43,BS
200,Finnsnes,69.2296,17.9811,270.15,90,86,1.68,NO
201,Shestakovo,56.4915,103.96,261.68,100,90,5.43,RU
202,Sterling,39.0062,-77.4286,288.15,75,18,1.93,US
203,Ribeira Grande,38.5167,-28.7,289.15,75,94,9.26,PT
204,Katsuura,35.1333,140.3,286.15,75,44,10.29,JP
205,Maniitsoq,65.4167,-52.9,261.19,20,73,3.07,GL
206,Gamba,-2.65,10.0,299.29,100,88,1.89,GA
207,Vicksburg,32.3526,-90.8779,300.15,40,50,3.6,US
208,Chokurdakh,70.6333,147.9167,243.96,0,92,1.92,RU
209,Assiut,27.181,31.1837,287.15,0,44,5.14,EG
210,Mahibadhoo,3.7833,72.9667,301.26,54,77,5.87,MV
211,Prince Rupert,54.3161,-130.3201,274.15,90,100,1.03,CA
212,Øksfjord,70.2396,22.3479,269.15,90,86,2.06,NO
213,São Filipe,14.8961,-24.4956,294.87,0,75,2.17,CV
214,Ngaoundéré,7.3167,13.5833,292.45,100,85,2.49,CM
215,Camapuã,-19.5314,-54.0439,298.43,37,77,0.58,BR
216,Port Alfred,-33.5906,26.891,296.48,70,82,1.79,ZA
217,Sémbé,1.6481,14.5806,296.36,23,87,1.08,CG
218,Yako,12.9667,-2.2667,299.39,5,9,4.0,BF
219,Jacareacanga,-6.2222,-57.7528,297.09,96,98,1.01,BR
220,Santa Isabel Rio Negro,-0.4139,-65.0192,299.81,96,76,1.47,BR
221,Nara,34.6851,135.8049,280.37,20,93,1.03,JP
222,Chara,56.9064,118.2631,264.73,100,95,1.6,RU
223,Deputatsky,69.3,139.9,241.49,0,76,0.94,RU
224,Valparaíso,-33.0393,-71.6273,291.15,40,77,3.09,CL
225,Half Moon Bay,37.4636,-122.4286,287.59,90,76,4.63,US
226,Nuuk,64.1835,-51.7216,264.15,55,73,6.17,GL
227,Mbour,14.422,-16.9638,299.15,0,25,6.17,SN
228,Kutum,14.2,24.6667,292.91,81,18,3.08,SD
229,Conde,-7.2597,-34.9075,300.15,75,78,6.17,BR
230,Sinnamary,5.3833,-52.95,298.4,81,87,4.25,GF
231,Luanda,-8.8368,13.2343,301.15,75,78,2.06,AO
232,Inyonga,-6.7167,32.0667,291.09,88,81,1.2,TZ
233,Port Blair,11.6667,92.75,299.07,18,74,1.26,IN
234,Hasaki,35.7333,140.8333,284.15,75,58,5.14,JP
235,Nikolskoye,59.7035,30.7861,275.93,75,87,3.0,RU
236,Zeya,53.75,127.2667,272.04,100,97,2.96,RU
237,Talnakh,69.4865,88.3972,243.08,100,98,3.71,RU
238,Virginia Beach,36.8529,-75.978,284.82,90,46,3.6,US
239,Callaway,30.153,-85.5699,296.48,1,56,6.17,US
240,Lorengau,-2.0226,147.2712,301.46,14,67,0.98,PG
241,Sisimiut,66.9395,-53.6735,262.89,98,91,2.94,GL
242,Ostrovnoy,68.0531,39.5131,261.88,82,92,6.57,RU
243,Severo-Kuril'sk,50.6789,156.125,272.16,29,77,4.24,RU
244,Qaqortoq,60.7167,-46.0333,269.15,75,54,1.85,GL
245,Kiryat Gat,31.61,34.7642,286.48,0,72,1.43,IL
246,Sakaraha,-22.9,44.5333,294.95,2,69,0.72,MG
247,Kattivākkam,13.2167,80.3167,297.15,20,88,1.03,IN
248,Yangi Marg`ilon,40.4272,71.7189,280.15,100,81,1.03,UZ
249,Scarborough,54.2797,-0.4044,277.04,12,85,0.45,GB
250,Bara,10.3744,10.7288,303.69,38,14,1.57,NG
251,Yuancheng,36.652,107.7896,280.95,29,93,3.65,CN
252,Yulara,-25.2406,130.9889,291.15,90,68,5.66,AU
253,Minna,9.6139,6.5569,305.15,0,23,5.14,NG
254,Ekhabi,53.5102,142.9671,266.32,58,95,3.41,RU
255,Klyuchi,52.2667,79.1667,250.76,0,93,2.41,RU
256,Grindavik,63.8424,-22.4338,270.15,75,74,8.75,IS
257,Te Anau,-45.4167,167.7167,289.68,35,61,4.41,NZ
258,Tsimmerbude,54.675,20.1347,279.15,90,93,5.0,RU
259,Kindu,-2.95,25.95,293.16,100,98,0.77,CD
260,Geraldton,-28.7667,114.6,295.15,0,37,12.35,AU
261,Bonavista,48.6499,-53.1147,277.04,95,60,2.57,CA
262,São Fidélis,-21.6461,-41.7469,300.15,0,78,5.14,BR
263,Sumenep,-7.0167,113.8667,298.37,92,83,1.17,ID
264,Peru,40.7537,-86.0689,285.37,1,26,1.14,US
265,Kavieng,-2.5744,150.7967,301.45,8,64,1.59,PG
266,Mirny,62.5353,113.9611,255.75,90,96,3.16,RU
267,Porbandar,21.6422,69.6093,296.97,0,65,5.97,IN
268,Palora,-1.7,-77.9333,296.15,75,78,2.06,EC
269,Henties Bay,-22.116,14.2845,291.48,56,93,0.89,NA
270,Deniliquin,-35.5333,144.9667,284.26,0,76,0.45,AU
271,Naze,28.3667,129.4833,288.07,95,70,4.6,JP
272,Liverpool,53.4106,-2.9779,280.15,90,93,8.75,GB
273,Goderich,43.7501,-81.7165,277.15,0,35,7.72,CA
274,Alamada,7.3333,124.5667,295.95,95,91,0.43,PH
275,Vila Franca do Campo,37.7167,-25.4333,288.15,75,94,8.23,PT
276,Preobrazheniye,42.9019,133.9064,274.81,100,56,1.77,RU
277,Little Baguio,7.8939,125.2764,290.56,100,95,0.3,PH
278,Isangel,-19.55,169.2667,299.15,75,83,3.09,VU
279,Kabalo,-6.05,26.9167,294.77,94,95,1.33,CD
280,Florø,61.5996,5.0328,277.15,90,81,7.2,NO
281,Qui Nhon,13.7667,109.2333,294.88,41,90,3.49,VN
282,Aurangabad,19.8833,75.3333,295.15,20,64,1.24,IN
283,Ponta Delgada,37.7333,-25.6667,288.15,75,94,8.23,PT
284,Ténenkou,14.4572,-4.9169,296.84,42,13,3.87,ML
285,Dudinka,69.4058,86.1778,245.33,100,96,6.55,RU
286,São João da Barra,-21.6403,-41.0511,300.15,0,78,5.14,BR
287,Ngunguru,-35.6167,174.5,294.82,0,69,2.24,NZ
288,Tiksi,71.6872,128.8694,253.32,78,93,3.7,RU
289,Port Shepstone,-30.7414,30.455,297.32,0,88,8.82,ZA
290,Yichun,47.7,128.9,267.84,52,74,1.33,CN
291,Verkhnetulomskiy,68.6073,31.7962,267.15,75,86,1.0,RU
292,Laguna de Perlas,12.3429,-83.6712,300.15,75,83,4.12,NI
293,Tromsø,69.6496,18.957,274.26,75,93,1.03,NO
294,Nelson Bay,-32.7167,152.15,295.37,90,100,5.66,AU
295,Pueblo,38.2545,-104.6091,276.48,90,93,4.12,US
296,Sar-e Pul,35.8333,66.1667,267.77,94,94,1.61,AF
297,Karasburg,-28.0167,18.75,295.74,32,27,4.4,NA
298,Black River,18.0264,-77.8487,301.48,40,65,8.23,JM
299,Bagotville,-28.9833,153.4167,296.15,0,88,1.99,AU
300,Khovd,48.0056,91.6419,265.39,100,19,0.09,MN
301,Santa Cruz de la Sierra,-17.8,-63.1667,305.15,40,51,3.09,BO
302,Johnson City,36.3134,-82.3535,290.15,90,39,0.9,US
303,Sena Madureira,-9.0656,-68.6569,298.52,80,95,1.62,BR
304,Bunia,1.5667,30.25,293.95,49,34,0.25,CD
305,Portland,45.5234,-122.6762,289.82,1,41,2.15,US
306,Semporna,4.4818,118.6112,296.15,40,94,1.36,MY
307,Broome,42.2506,-75.833,279.26,1,30,6.17,US
308,Mareeba,-17.0,145.4333,297.15,53,83,4.12,AU
309,Biak,-0.9131,122.8766,297.44,12,83,0.48,ID
310,Hobyo,5.3505,48.5268,299.63,92,82,5.71,SO
311,Bīghāpur Khurd,26.35,80.6833,293.15,0,83,2.06,IN
312,Erenhot,43.6475,111.9767,278.37,100,57,5.07,CN
313,Merauke,-8.4667,140.3333,298.57,100,88,2.94,ID
314,Måløy,61.9353,5.1136,277.59,90,81,7.2,NO
315,Mocuba,-16.8392,36.9856,295.61,37,97,1.0,MZ
316,Jacksonville,30.3322,-81.6556,301.15,90,39,2.57,US
317,Cidreira,-30.1811,-50.2056,296.57,4,83,4.55,BR
318,Terrace Bay,48.7834,-87.1,279.15,40,33,6.69,CA
319,Capácuaro,19.55,-102.05,300.15,1,36,5.14,MX
320,Zvishavane,-20.3267,30.0665,290.49,0,82,1.94,ZW
321,Talavera de la Reina,39.9635,-4.8308,279.37,0,77,1.68,ES
322,Sikandarpur,26.05,84.05,292.98,0,53,2.65,IN
323,Drumnadrochit,57.3344,-4.4799,277.04,82,92,0.89,GB
324,Raymondville,26.4815,-97.7831,303.15,75,45,9.77,US
325,Fomboni,-12.28,43.7425,301.67,100,71,3.02,KM
326,Shingū,33.7333,135.9833,279.74,0,79,2.62,JP
327,São José da Coroa Grande,-8.8978,-35.1478,299.09,43,79,4.14,BR
328,Boa Vista,2.8197,-60.6733,301.15,40,61,2.57,BR
329,Innisfail,-17.5333,146.0333,298.35,84,89,1.38,AU
330,Novorozhdestvenskaya,45.8619,39.9542,273.71,100,78,2.69,RU
331,Srednekolymsk,67.45,153.6833,243.66,77,98,1.62,RU
332,Cabadiangan,9.7531,122.4739,297.79,97,91,3.01,PH
333,Evensk,61.95,159.2333,255.11,100,75,1.75,RU
334,Pacific Grove,36.6177,-121.9166,286.15,75,62,5.14,US
335,Caravelas,-17.7125,-39.2481,297.64,0,80,2.67,BR
336,Oxford,51.7522,-1.256,277.04,0,81,5.66,GB
337,Tegul'det,57.3064,88.1667,257.04,100,91,5.79,RU
338,Coahuayana Viejo,18.7333,-103.6833,304.15,20,40,5.14,MX
339,Batié,9.8833,-2.9167,302.3,93,15,1.0,BF
340,Olinda,-8.0089,-34.8553,300.15,40,65,3.6,BR
341,Antalaha,-14.9003,50.2788,296.6,87,84,3.34,MG
342,Jiwani,25.05,61.7417,296.18,0,89,4.43,PK
343,Betsiamites,48.9413,-68.646,268.15,1,30,5.66,CA
344,Laas,46.6166,10.7002,283.15,0,75,3.09,IT
345,Scalea,39.813,15.7956,286.13,60,88,2.36,IT
346,Gondal,21.9667,70.8,297.15,0,53,3.09,IN
347,Ust-Maya,60.4167,134.5333,267.06,100,93,4.28,RU
348,Chipinge,-20.1883,32.6236,289.31,17,97,2.06,ZW
349,Lichinga,-13.3128,35.2406,291.15,75,94,4.12,MZ
350,Yabrūd,33.9674,36.6574,280.37,0,81,3.09,SY
351,Verkhnevilyuysk,63.4453,120.3167,258.46,88,91,3.91,RU
352,Beringovskiy,63.05,179.3167,266.65,42,89,1.77,RU
353,Bajil,15.0584,43.2851,301.43,11,51,1.68,YE
354,Lavrentiya,65.5833,-171.0,263.37,100,92,10.12,RU
355,Vershino-Shakhtaminskiy,51.3012,117.8868,266.98,94,85,3.14,RU
356,Sri Aman,1.2376,111.4621,297.15,55,100,0.13,MY
357,Summerville,33.0185,-80.1757,297.15,75,41,3.6,US
358,Roswell,34.0232,-84.3616,297.59,75,53,3.09,US
359,Forsytheganj,52.6333,29.7333,274.21,95,95,3.96,BY
360,Ossora,59.2353,163.0719,257.52,99,75,1.82,RU
361,Bhawānipatna,19.9,83.1667,294.98,0,45,1.75,IN
362,Laguna,38.421,-121.4238,291.48,1,42,4.12,US
363,Lumeje,-11.55,20.7833,291.83,79,90,0.17,AO
364,Mar del Plata,-38.0023,-57.5575,294.15,20,68,6.17,AR
365,Qasigiannguit,68.8193,-51.1922,260.15,75,72,7.2,GL
366,Sitka,57.0531,-135.33,274.15,40,55,6.69,US
367,Kumul,42.8,93.45,283.56,1,31,3.26,CN
368,Chengde,40.9725,117.9361,277.15,99,75,0.56,CN
369,Yerofey Pavlovich,53.9667,121.9667,268.18,100,96,1.0,RU
370,Malibu,34.005,-118.8101,287.59,0,76,2.68,US
371,Tuy Hoa,13.0833,109.3,295.25,48,90,2.53,VN
372,Bubaque,11.2833,-15.8333,298.78,87,65,5.22,GW
373,Shahrud,36.4182,54.9763,267.98,3,63,1.79,IR
374,Maţāy,28.419,30.7792,287.02,86,56,5.18,EG
375,Marechal Cândido Rondon,-24.5561,-54.0567,298.32,0,55,0.98,BR
376,Waipawa,-41.4122,175.5153,290.37,0,63,8.23,NZ
377,Tete,-16.1564,33.5867,299.15,75,73,4.12,MZ
378,Banjar,-8.19,114.9675,298.15,40,94,2.06,ID
379,Tomatlán,19.9333,-105.25,310.26,0,18,7.88,MX
380,Namatanai,-3.6667,152.4333,301.15,15,66,1.82,PG
381,Klaksvík,62.2266,-6.589,278.15,75,93,15.95,FO
382,Nowa Sól,51.8033,15.717,279.15,0,75,9.26,PL
383,Sioux Lookout,50.1001,-91.917,279.15,75,28,8.75,CA
384,Severo-Yeniseyskiy,60.3725,93.0408,256.11,100,89,5.55,RU
385,Lompoc,34.6391,-120.4579,286.15,90,67,7.72,US
386,Mezhdurechensk,53.6942,88.0603,253.45,100,97,1.88,RU
387,Flinders,-34.5833,150.8552,292.04,100,90,3.13,AU
388,Kalabagh,32.965,71.557,292.43,69,59,2.95,PK
389,Qinzhou,21.95,108.6167,294.34,10,89,2.65,CN
390,Nānākuli,21.3906,-158.1547,297.15,75,73,3.6,US
391,Asău,46.4333,26.4,275.93,3,60,2.3,RO
392,Nakambala,-15.8324,27.7799,290.96,0,96,1.39,ZM
393,Tateyama,34.9833,139.8667,286.15,75,44,10.29,JP
394,Beisfjord,68.3751,17.5988,274.15,90,86,0.51,NO
395,Xam Nua,20.4197,104.0439,290.23,86,92,1.12,LA
396,Vestmannaeyjar,63.4427,-20.2734,272.69,0,66,8.76,IS
397,Prado,-17.3411,-39.2208,297.79,10,81,3.06,BR
398,Nador,35.174,-2.9287,288.15,0,77,3.09,MA
399,Bad Sooden-Allendorf,51.2833,9.9833,276.48,33,76,3.13,DE
400,Mossendjo,-2.9506,12.7261,295.18,36,99,1.35,CG
401,Malakal,9.5334,31.6605,304.54,78,21,1.18,SS
402,Ust-Nera,64.5667,143.2,242.72,1,95,1.07,RU
403,Ilulissat,69.2167,-51.1,260.15,75,72,7.2,GL
404,Torrington,41.8007,-73.1212,280.37,0,31,4.02,US
405,Charters Towers,-20.1,146.2667,296.71,21,80,2.11,AU
406,Syracuse,37.0881,15.2792,286.48,0,76,2.06,IT
407,Termez,37.2242,67.2783,273.15,90,74,13.38,UZ
408,Peace River,56.2501,-117.286,274.15,90,69,5.66,CA
